url,title,video,images,paragraph,bullets,examples,advanced,medium,easy,topic,facts and procedures,theories and meaning,steps given,practical ,thinking,tf,3,4,5,6
http://www.javatpoint.com/serialization-in-java,Serialization in Java - javatpoint,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,serialization,TRUE,FALSE,TRUE,TRUE,FALSE,0.007003891,FALSE,,FALSE,FALSE
http://www.ibm.com/developerworks/library/j-5things1/,Java Serialization,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,serialization,FALSE,TRUE,FALSE,TRUE,TRUE,0.007597685,,FALSE,FALSE,FALSE
http://www.oracle.com/technetwork/articles/java/javaserial-1536170.html,Discover the secrets of the Java Serialization APIï¿½,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,serialization,FALSE,TRUE,FALSE,TRUE,TRUE,0.006961903,,FALSE,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/jndi/objects/serial.html,Serializable Objects,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,serialization,FALSE,TRUE,FALSE,TRUE,FALSE,0.00177305,,FALSE,FALSE,FALSE
http://www.tutorialspoint.com/java/java_serialization.htm,Java - Serializationï¿½,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,serialization,TRUE,FALSE,TRUE,TRUE,FALSE,0.002938296,FALSE,,FALSE,FALSE
https://www.youtube.com/watch?v=2i4t-SL1VsU,Java JDBC Tutorial - Part 1: Connect to MySQL database with Javaï¿½,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,JDBC,TRUE,FALSE,TRUE,TRUE,FALSE,0.002770083,FALSE,FALSE,,
https://www.youtube.com/watch?v=8-iQDUl10vM,Java JDBC Tutorial - Part 0: Overview - YouTube,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,JDBC,FALSE,TRUE,FALSE,FALSE,TRUE,0.005793851,FALSE,FALSE,,
http://www.vogella.com/tutorials/MySQLJava/article.html,MySQL and Java JDBC - Tutorial,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,JDBC,TRUE,FALSE,TRUE,TRUE,FALSE,0.012919897,FALSE,,FALSE,FALSE
http://www.javatpoint.com/java-jdbc,Java JDBC Tutorial - javatpoint,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,JDBC,TRUE,FALSE,FALSE,FALSE,TRUE,0.03250478,,FALSE,FALSE,FALSE
http://www.tutorialspoint.com/jdbc/,JDBC Tutorial,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,JDBC,TRUE,FALSE,TRUE,TRUE,FALSE,0.01497006,FALSE,,FALSE,FALSE
http://www3.ntu.edu.sg/home/ehchua/programming/java/j4a_gui.html,GUI Programming - Java Programming Tutorialï¿½,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Swing,FALSE,TRUE,TRUE,TRUE,FALSE,0.00512335,FALSE,,FALSE,FALSE
http://cs.nyu.edu/~yap/classes/visual/03s/lect/l7/,JAVA SWING GUI TUTORIAL,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Swing,FALSE,TRUE,TRUE,TRUE,FALSE,0.00295858,FALSE,,FALSE,FALSE
http://joel-costigliola.github.io/assertj/assertj-swing-advanced.html,Advanced features - AssertJ / Fluent assertion for java,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,assertions,TRUE,FALSE,TRUE,TRUE,FALSE,0.00232423,FALSE,,FALSE,FALSE
https://docs.oracle.com/javase/specs/jls/se7/html/jls-6.html,Chapter 6. Names - Oracle Help Center,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,declarations and access control,FALSE,TRUE,FALSE,TRUE,TRUE,0.005297991,,FALSE,FALSE,FALSE
http://www.tutorialspoint.com/java/java_packages.htm,Java - Packages - TutorialsPoint,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,declarations and access control,TRUE,FALSE,TRUE,TRUE,FALSE,0.005649718,FALSE,,FALSE,FALSE
http://journals.ecs.soton.ac.uk/java/tutorial/java/javaOO/methoddecl.html,The Method Declaration,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,declarations and access control,FALSE,TRUE,FALSE,TRUE,FALSE,0.006625442,,FALSE,FALSE,FALSE
http://www.javacodehelp.com/java-tutorial/ExceptionHandling.html,Java Tutorial for Beginners: Exception Handling,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,exceptions,FALSE,TRUE,FALSE,TRUE,TRUE,0.003350084,,FALSE,FALSE,FALSE
http://www.oracle.com/technetwork/articles/java/java7exceptions-486908.html,Working with Java SE 7 Exception Changes - Oracle,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,exceptions,FALSE,TRUE,TRUE,TRUE,FALSE,0.001818843,FALSE,,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/essential/exceptions/tryResourceClose.html,The try-with-resources Statement (The Javaï¿½ Tutorials &gt; Essential ,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,exceptions,FALSE,TRUE,FALSE,TRUE,TRUE,0.008312958,,FALSE,FALSE,FALSE
https://javatutorial.net/java-control-flow-statements,Java Control Flow Statements - Java Tutorials for Beginners,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,flow control,TRUE,FALSE,FALSE,TRUE,TRUE,0.002739726,TRUE,FALSE,FALSE,FALSE
http://www.dickbaldwin.com/java/Java026.htm,Flow control in Java - ZetCode,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,flow control,FALSE,TRUE,TRUE,TRUE,TRUE,0.003891908,FALSE,TRUE,FALSE,FALSE
https://newcircle.com/bookshelf/java_fundamentals_tutorial/flow_control,Java Fundamentals Tutorial: Statements and Flow Control - NewCircle,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,flow control,TRUE,FALSE,FALSE,TRUE,FALSE,0.00154202,TRUE,FALSE,FALSE,TRUE
http://www.wideskills.com/java-tutorial/java-control-flow-statements,Java Control Flow Statements | Wideskills,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,flow control,TRUE,FALSE,FALSE,TRUE,FALSE,0.004440497,TRUE,FALSE,FALSE,FALSE
http://www.ibm.com/developerworks/library/l-advflow/,Continuations and advanced flow control - IBM,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,flow control,FALSE,TRUE,TRUE,TRUE,TRUE,0.004555232,FALSE,,FALSE,FALSE
http://www.tutorialspoint.com/java/java_loop_control.htm,Java - Loop Control - TutorialsPoint,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,flow control,TRUE,FALSE,FALSE,TRUE,FALSE,0.004279601,,FALSE,FALSE,FALSE
http://stackoverflow.com/questions/17009961/understanding-the-java-memory-model-and-garbage-collection,Understanding the Java Memory Model and Garbage Collection,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,garbage collection,FALSE,TRUE,FALSE,FALSE,TRUE,0.004901961,,FALSE,FALSE,FALSE
http://beginnersbook.com/2013/05/inner-class/,Inner classes in java: Afalsenymous inner and static ... - BeginnersBook,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,nested class,TRUE,FALSE,TRUE,TRUE,FALSE,0.031798246,FALSE,,FALSE,FALSE
http://www.javatpoint.com/java-inner-class,Java Inner Class - javatpoint,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,nested class,TRUE,FALSE,FALSE,FALSE,TRUE,0.030510585,,FALSE,FALSE,FALSE
http://viralpatel.net/blogs/inner-classes-in-java/,Inner classes in Java the mystery within. - ViralPatel.net,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,nested class,TRUE,FALSE,FALSE,TRUE,FALSE,0.017674419,,FALSE,FALSE,FALSE
http://www.programcreek.com/2009/02/4-inner-classes-tutorial-examples/,4 types of Java inner classes - ProgramCreek.com,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,nested class,TRUE,FALSE,TRUE,TRUE,FALSE,0.007531381,FALSE,,FALSE,
http://www.javaworld.com/javaworld/jw-11-1998/jw-11-collections.html,Get started with the Java Collections Framework | JavaWorld,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,objects and collections,FALSE,TRUE,FALSE,TRUE,TRUE,0.005440871,,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=z61PqpmtSfalse,assertion in Java,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,assertion,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,
https://www.youtube.com/watch?v=Hw0RM1OFwBU,Java Tutorial 05 - Java Flow Control,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,flow control,TRUE,FALSE,TRUE,TRUE,FALSE,0.001478484,FALSE,FALSE,,
